season_code,installment,total_houseguests,white,black,asian,middle eastern,other,latinx_hispanic,biracial,unknown,total_people_of_color,white_poc_ratio,poc_white_ratio,poc_percent,max_entropy_const,white_proportion,black_proportion,asian_proportion,latinx_hispanic_proportion,middle_eastern_arab_proportion,other_proportion,biracial_proportion,other_plus_biracial_proportion,unknown,diversity_entropy_including_unknown,diversity_entropy_excluding_unkown,entropy_excluding_unknown_other,diversity_entropy_excluding_unknown_combining_other_biracial,diversity_entropy_as_percent_of_max
bbus1,1,10,7,2,1,0,0,0,0,0,3,2.3,0.43,0.30,1.79,0.70,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.80,0.80,0.45
bbus2,2,12,10,2,0,0,0,0,0,0,2,5.0,0.20,0.17,1.79,0.83,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.45,0.45,0.25
bbus3,3,12,10,2,0,0,0,0,0,0,2,5.0,0.20,0.17,1.79,0.83,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.45,0.45,0.25
bbus4,4,13,8,0,2,0,0,1,1,1,4,2.0,0.50,0.31,1.79,0.62,0.00,0.15,0.08,0.00,0.00,0.08,0.08,0.08,1.18,0.78,0.78,0.98,0.55
bbus5,5,14,13,1,0,0,0,0,0,0,1,13.0,0.08,0.07,1.79,0.93,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.26,0.26,0.14
bbus6,6,14,10,1,0,1,0,2,0,0,4,2.5,0.40,0.29,1.79,0.71,0.07,0.00,0.14,0.07,0.00,0.00,0.00,0.00,0.90,0.90,0.90,0.90,0.50
bbus7,7,14,11,2,0,1,0,0,0,0,3,3.7,0.27,0.21,1.79,0.79,0.14,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.66,0.37
bbus8,8,14,12,1,0,0,0,1,0,0,2,6.0,0.17,0.14,1.79,0.86,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.51,0.51,0.51,0.51,0.28
bbus9,9,16,14,1,0,0,0,1,0,0,2,7.0,0.14,0.13,1.79,0.88,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.46,0.46,0.46,0.46,0.26
bbus10,10,13,9,2,1,0,1,0,0,0,4,2.3,0.44,0.31,1.79,0.69,0.15,0.08,0.00,0.00,0.08,0.00,0.08,0.00,0.94,0.94,0.74,0.94,0.52
bbus11,11,13,8,1,0,1,0,2,2,0,5,1.6,0.63,0.38,1.79,0.62,0.08,0.00,0.15,0.08,0.00,0.15,0.15,0.00,1.27,0.98,0.98,1.27,0.71
bbus12,12,13,11,0,0,0,0,1,2,0,2,5.5,0.18,0.15,1.79,0.85,0.00,0.00,0.08,0.00,0.00,0.15,0.15,0.00,0.63,0.34,0.34,0.63,0.35
bbus13,13,14,9,3,0,0,0,1,2,0,5,1.8,0.56,0.36,1.79,0.64,0.21,0.00,0.07,0.00,0.00,0.14,0.14,0.00,1.08,0.80,0.80,1.08,0.60
bbus14,14,16,14,1,0,0,0,1,0,0,2,7.0,0.14,0.13,1.79,0.88,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.46,0.46,0.46,0.46,0.26
bbus15,15,16,13,2,1,0,0,0,0,0,3,4.3,0.23,0.19,1.79,0.81,0.13,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.60,0.60,0.34
bbus16,16,16,10,2,1,1,0,0,1,1,5,2.0,0.50,0.31,1.79,0.63,0.13,0.06,0.00,0.06,0.00,0.06,0.06,0.06,1.25,0.90,0.90,1.07,0.60
bbus17,17,17,14,1,1,0,0,1,0,0,3,4.7,0.21,0.18,1.79,0.82,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.66,0.37
bbus18,18,16,7,2,1,0,1,4,1,0,9,0.8,1.29,0.56,1.79,0.44,0.13,0.06,0.25,0.00,0.06,0.06,0.13,0.00,1.49,1.31,1.14,1.40,0.78
bbott,19,13,10,2,0,0,0,0,1,0,3,3.3,0.30,0.23,1.79,0.77,0.15,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.69,0.49,0.49,0.69,0.38
bbus19,20,17,11,1,1,0,1,3,1,0,6,1.8,0.55,0.35,1.79,0.65,0.06,0.06,0.18,0.00,0.06,0.06,0.12,0.00,1.25,1.09,0.92,1.17,0.65
cbbus1,21,11,7,3,0,0,0,1,0,0,4,1.8,0.57,0.36,1.79,0.64,0.27,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.86,0.86,0.86,0.86,0.48
bbus20,22,16,10,2,1,1,0,1,1,0,6,1.7,0.60,0.38,1.79,0.63,0.13,0.06,0.06,0.06,0.00,0.06,0.06,0.00,1.25,1.07,1.07,1.25,0.70
cbbus2,23,12,6,3,0,0,0,2,1,0,6,1.0,1.00,0.50,1.79,0.50,0.25,0.00,0.17,0.00,0.00,0.08,0.08,0.00,1.20,0.99,0.99,1.20,0.67
bbus21,24,16,9,2,2,0,0,1,0,2,5,1.8,0.56,0.31,1.79,0.56,0.13,0.13,0.06,0.00,0.00,0.00,0.00,0.13,1.28,1.02,1.02,1.02,0.57
bbus22,25,16,11,3,0,1,0,0,1,0,5,2.2,0.45,0.31,1.79,0.69,0.19,0.00,0.00,0.06,0.00,0.06,0.06,0.00,0.92,0.74,0.74,0.92,0.51
bbus23,26,16,8,4,1,0,0,2,3,0,8,1.0,1.00,0.50,1.79,0.50,0.25,0.06,0.13,0.00,0.00,0.19,0.19,0.00,1.44,1.13,1.13,1.44,0.80
